Station A,Station B,Frequentie
Maastricht,Sittard,11995
Heerenveen,Steenwijk,18356
Gouda,Rotterdam Alexander,385
Rotterdam Alexander,Rotterdam Centraal,1550
Rotterdam Centraal,Schiedam Centrum,98888
Roosendaal,Vlissingen,412
Etten-Leur,Roosendaal,749
Breda,Etten-Leur,41672
Almere Centrum,Lelystad Centrum,10548
Hilversum,Utrecht Centraal,420
Amersfoort,Utrecht Centraal,14556
Alphen a/d Rijn,Leiden Centraal,375
Den Haag Laan v NOI,Leiden Centraal,28322
Haarlem,Heemstede-Aerdenhout,21750
Assen,Groningen,7790
Dieren,Zutphen,16236
Alkmaar,Hoorn,385
Alkmaar,Castricum,33420
Eindhoven,Helmond,20367
Roermond,Weert,10596
Oss,s-Hertogenbosch,12400
Apeldoorn,Deventer,13107
Delft,Den Haag HS,380
Delft,Schiedam Centrum,720
Beverwijk,Castricum,363
Arnhem Centraal,Nijmegen,393
Arnhem Centraal,Ede-Wageningen,18341
Rotterdam Alexander,Rotterdam Blaak,783
Den Haag Centraal,Leiden Centraal,392
Dordrecht,Rotterdam Blaak,412
Breda,Tilburg,398
Amsterdam Centraal,Amsterdam Sloterdijk,41484
Enschede,Hengelo,26878
Amsterdam Amstel,Amsterdam Centraal,336
Almelo,Hengelo,372
Helmond,Venlo,393
Amsterdam Zuid,Schiphol Airport,20648
Steenwijk,Zwolle,384
Heerenveen,Leeuwarden,388
Alkmaar,Den Helder,401
Heerlen,Sittard,380
Amsterdam Sloterdijk,Zaandam,375
