station1,station2,frequentie
Roosendaal,Vlissingen,390
Etten-Leur,Roosendaal,752
Breda,Etten-Leur,42004
Heerenveen,Steenwijk,18419
Dordrecht,Rotterdam Blaak,371
Rotterdam Alexander,Rotterdam Blaak,718
Rotterdam Alexander,Rotterdam Centraal,1400
Rotterdam Centraal,Schiedam Centrum,97260
Alkmaar,Den Helder,404
Alkmaar,Castricum,33431
Eindhoven,Helmond,20820
Hilversum,Utrecht Centraal,412
Amersfoort,Utrecht Centraal,14324
Amsterdam Centraal,Amsterdam Sloterdijk,42833
Den Haag Centraal,Leiden Centraal,391
Den Haag Laan v NOI,Leiden Centraal,27812
Delft,Den Haag HS,391
Delft,Schiedam Centrum,767
Oss,s-Hertogenbosch,11040
Apeldoorn,Deventer,13396
Maastricht,Sittard,13109
Steenwijk,Zwolle,406
Roermond,Weert,10212
Dieren,Zutphen,17160
Arnhem Centraal,Ede-Wageningen,18942
Arnhem Centraal,Nijmegen,387
Amsterdam Zuid,Schiphol Airport,22533
Haarlem,Heemstede-Aerdenhout,22388
Amsterdam Amstel,Amsterdam Centraal,374
Alkmaar,Hoorn,368
Beverwijk,Castricum,393
Alphen a/d Rijn,Leiden Centraal,373
Assen,Groningen,8370
Enschede,Hengelo,29284
Breda,Tilburg,392
Gouda,Rotterdam Alexander,351
Almere Centrum,Lelystad Centrum,10272
Heerenveen,Leeuwarden,387
Almelo,Hengelo,416
Heerlen,Sittard,388
Amsterdam Sloterdijk,Zaandam,409
Helmond,Venlo,394
