train,stations
train_1,"[Eindhoven, Helmond, Eindhoven, Tilburg, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_2,"[Lelystad Centrum, Almere Centrum, Amsterdam Centraal, Utrecht Centraal, Ede-Wageningen, Utrecht Centraal, Amsterdam Amstel, Almere Centrum]"
train_3,"[Etten-Leur, Breda, Etten-Leur, Roosendaal, Vlissingen, Roosendaal, Etten-Leur, Roosendaal]"
train_4,"[Dordrecht, Breda, Etten-Leur, Roosendaal, Dordrecht, Rotterdam Blaak, Schiedam Centrum, Rotterdam Blaak, Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Blaak, Rotterdam Alexander, Gouda, Den Haag Centraal]"
train_5,"[Heerenveen, Steenwijk, Heerenveen, Leeuwarden, Heerenveen, Steenwijk, Heerenveen, Steenwijk, Heerenveen, Leeuwarden, Groningen]"
train_6,"[Rotterdam Alexander, Gouda, Den Haag Centraal, Gouda, Den Haag Centraal, Leiden Centraal, Den Haag Centraal, Leiden Centraal, Den Haag HS, Delft, Schiedam Centrum, Delft, Den Haag HS, Leiden Centraal, Den Haag Centraal, Delft]"
train_7,"[Alphen a/d Rijn, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Heemstede-Aerdenhout, Haarlem, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Haarlem, Beverwijk, Castricum, Zaandam, Hoorn, Alkmaar, Castricum]"
train_8,"[Utrecht Centraal, Ede-Wageningen, Utrecht Centraal, Ede-Wageningen, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Amsterdam Centraal, Amsterdam Sloterdijk]"
train_9,"[Maastricht, Sittard, Roermond, Weert, Eindhoven, s-Hertogenbosch, Oss, Nijmegen, Oss, s-Hertogenbosch, Eindhoven, Weert]"
train_10,"[Haarlem, Beverwijk, Zaandam, Amsterdam Sloterdijk, Amsterdam Zuid, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Utrecht Centraal, Gouda, Alphen a/d Rijn, Utrecht Centraal]"
train_11,"[Vlissingen, Roosendaal, Dordrecht, Breda, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Gouda, Utrecht Centraal]"
train_12,"[Heerenveen, Leeuwarden, Groningen, Leeuwarden, Heerenveen, Leeuwarden, Groningen, Assen]"
train_13,"[Amsterdam Amstel, Almere Centrum, Lelystad Centrum, Almere Centrum, Amsterdam Centraal, Almere Centrum, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Amsterdam Sloterdijk, Amsterdam Zuid, Amsterdam Amstel]"
train_14,"[Venlo, Helmond, Eindhoven, Helmond, Venlo, Helmond, Eindhoven, Tilburg, Eindhoven, Helmond]"
train_15,"[Zwolle, Steenwijk, Heerenveen, Steenwijk, Zwolle, Amersfoort, Zwolle, Deventer]"
train_16,"[Assen, Groningen, Leeuwarden, Groningen, Assen, Groningen, Leeuwarden]"
train_17,"[Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander, Gouda, Den Haag HS, Gouda, Rotterdam Alexander, Rotterdam Blaak, Dordrecht, Roosendaal]"
train_18,"[Zutphen, Deventer, Zwolle, Amersfoort, Apeldoorn, Amersfoort, Zwolle, Steenwijk]"
train_19,"[Rotterdam Alexander, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Dordrecht, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag HS, Delft, Den Haag Laan v NOI, Gouda, Rotterdam Alexander, Rotterdam Centraal, Dordrecht]"
train_20,"[Heerlen, Sittard, Heerlen, Sittard, Roermond, Sittard, Maastricht, Sittard, Roermond, Weert, Eindhoven, s-Hertogenbosch]"
score,2206.089887640449
